sysid, healthScore, "capacity_total_freePct", "delAcksPct", "portReadBandwidthMBPS", "portWriteBandwidthMBPS", "cpuLatestTotalAvgPct", "cpuLatestTotalMaxPct", "nodeCountOffline", "nodeCountMissing", "ddsSizeUsedTiB"
327, 92.92636, 2.4450667, 1.2999986, 0.0, 0.44313437, 1.5927881, 1.2926546, 0.0, 0.0, 0.0
906, 97.6235, 0.0, 0.0, 0.14893171, 0.18549754, 1.4703262, 0.57174873, 0.0, 0.0, 0.0
2843, 93.31689, 6.540992, 0.0, 0.0, 0.14212328, 0.0, 0.0, 0.0, 0.0, 2.2171662E-11
2912, 98.52883, 0.0, 0.0, 0.9654547, 0.20725073, 0.0, 0.0, 0.0, 0.0, 0.29845995
2985, 95.05104, 0.0, 0.0, 4.633918, 0.31503868, 0.0, 0.0, 0.0, 0.0, 0.0
1722, 72.56846, 5.464375, 0.0, 19.54072, 2.4263957, 0.0, 0.0, 0.0, 0.0, 4.881585E-5
4438, 98.092064, 0.0, 0.0, 1.6548442, 0.25309315, 0.0, 0.0, 0.0, 0.0, 0.0
2009, 79.477295, 1.8271002, 0.13946733, 17.300665, 1.2554759, 0.0, 0.0, 0.0, 0.0, 0.0
1322, 99.18579, 0.0, 0.0, 0.588644, 0.22556701, 0.0, 0.0, 0.0, 0.0, 0.0
2813, 95.01977, 0.0, 0.0, 1.7433116, 0.24945077, 1.839957, 1.1475099, 0.0, 0.0, 0.0
3303, 88.97519, 9.116872, 0.0, 1.6548442, 0.25309315, 0.0, 0.0, 0.0, 0.0, 0.0
518, 89.55835, 10.222603, 0.0, 0.21904626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
798, 93.26105, 4.4463553, 0.0, 2.109108, 0.18348922, 0.0, 0.0, 0.0, 0.0, 0.0
4185, 58.754883, 37.224167, 0.0, 2.9696343, 1.0513139, 0.0, 0.0, 0.0, 0.0, 0.0
53, 98.9557, 0.0, 0.0, 0.79189587, 0.0, 0.24689043, 0.005507138, 0.0, 0.0, 1.03564416E-16
2156, 97.88272, 0.0, 0.0, 1.8006686, 0.31661358, 0.0, 0.0, 0.0, 0.0, 0.0
928, 90.16962, 9.374675, 0.0, 0.0, 0.0, 0.32113573, 0.13457084, 0.0, 0.0, 0.0
4256, 52.244606, 24.731138, 0.0, 19.964764, 3.0594945, 0.0, 0.0, 0.0, 0.0, 0.0
2199, 99.37692, 0.0, 0.0, 0.38699174, 0.23608801, 0.0, 0.0, 0.0, 0.0, 0.0
1408, 86.18723, 11.904828, 0.0, 1.6548442, 0.25309315, 0.0, 0.0, 0.0, 0.0, 0.0
1034, 95.63795, 2.5788033, 0.0, 0.0, 0.0, 1.0125918, 0.7706567, 0.0, 0.0, 0.0
3964, 81.852585, 0.0, 0.0, 17.173204, 0.9742133, 0.0, 0.0, 0.0, 0.0, 0.0
2935, 63.029385, 18.899284, 0.0, 17.54514, 0.5261915, 0.0, 0.0, 0.0, 0.0, 3.6409585E-8
2845, 99.843544, 0.0, 0.0, 0.0, 0.15645355, 0.0, 0.0, 0.0, 0.0, 0.0
93, 64.45346, 31.249514, 0.0, 1.4706136, 0.22009955, 1.6658342, 0.9404799, 0.0, 0.0, 0.0
1986, 85.80637, 0.0, 0.0, 12.429133, 0.0, 1.1815925, 0.5829018, 0.0, 0.0, 0.0
2933, 85.83499, 12.426936, 0.0, 0.18515545, 0.20640677, 1.3465074, 0.0, 0.0, 0.0, 0.0
2242, 97.57103, 0.0, 0.0, 0.8033262, 0.0, 1.3053209, 0.3203245, 0.0, 0.0, 4.890741E-9
1639, 89.504616, 8.27978, 0.0, 0.0, 0.0, 1.5396143, 0.675987, 0.0, 0.0, 0.0
261, 75.4823, 1.8063966, 0.0, 19.85426, 2.857048, 0.0, 0.0, 0.0, 0.0, 0.0
1548, 94.39251, 4.3564725, 0.0, 1.039572, 0.21144901, 0.0, 0.0, 0.0, 0.0, 0.0
3774, 79.5411, 0.0, 0.0, 19.604607, 0.8542922, 0.0, 0.0, 0.0, 0.0, 0.0
110, 58.500156, 23.104568, 0.0, 17.889032, 0.19426687, 0.16889112, 0.043865222, 0.0, 0.0, 0.09921953
3212, 99.65368, 0.0, 0.0, 0.0, 0.3463229, 0.0, 0.0, 0.0, 0.0, 0.0
4450, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
3966, 98.2258, 0.0, 0.0, 1.6088574, 0.16534667, 0.0, 0.0, 0.0, 0.0, 0.0
1003, 95.43302, 3.5944374, 0.0, 0.0, 0.0, 0.0, 0.95922893, 0.013309367, 0.0, 0.0
